geometry.coordinates	route_name	name	stop_number	stop_modifier
144.9869595,-37.8165474	Tram 48: Victoria Harbour => North Balwyn	Simpson Street	13	
144.9869595,-37.8165474	Tram 75: Central Pier => Vermont South Shopping Centre	Simpson Street	13	
145.105769,-37.8499352	Tram 75: Vermont South Shopping Centre => Central Pier	Presbyterian Ladies College	61	
144.9989208,-37.8185398	Tram 48: Victoria Harbour => North Balwyn	Church Street	18	
144.9989208,-37.8185398	Tram 75: Central Pier => Vermont South Shopping Centre	Church Street	18	
144.957793,-37.8202803	Tram 35: Waterfront City => La Trobe Street => Flinders Street => Waterfront City	Melbourne Aquarium	2	
144.957793,-37.8202803	Tram 70: Wattle Park => Waterfront City	Melbourne Aquarium	2	
144.957793,-37.8202803	Tram 75: Vermont South Shopping Centre => Central Pier	Melbourne Aquarium	2	
144.9515077,-37.8133498	Tram 86: RMIT University Bundoora Campus => Waterfront City	La Trobe Street	119	
144.9642398,-37.7992065	Tram 1: East Coburg => South Melbourne Beach	Melbourne University	1	
144.9642398,-37.7992065	Tram 16: Melbourne University => Kew	Melbourne University	1	
144.9642398,-37.7992065	Tram 3: Melbourne University => East Malvern	Melbourne University	1	
144.9642398,-37.7992065	Tram 64: Melbourne University => East Brighton	Melbourne University	1	
144.9642398,-37.7992065	Tram 67: Melbourne University => Carnegie	Melbourne University	1	
144.9642398,-37.7992065	Tram 6: Moreland railway station => Glen Iris	Melbourne University	1	
144.9642398,-37.7992065	Tram 72: Melbourne University => Camberwell	Melbourne University	1	
144.9642398,-37.7992065	Tram 5: Melbourne University => Malvern	Melbourne University	1	
144.9641959,-37.7988359	Tram 1: South Melbourne Beach => East Coburg	Melbourne University	1	
144.9641959,-37.7988359	Tram 16: Kew => Melbourne University	Melbourne University	1	
144.9641959,-37.7988359	Tram 3: East Malvern => Melbourne University	Melbourne University	1	
144.9641959,-37.7988359	Tram 64: East Brighton => Melbourne University	Melbourne University	1	
144.9641959,-37.7988359	Tram 67: Carnegie => Melbourne University	Melbourne University	1	
