geometry.coordinates	route_name	name	stop_number	stop_modifier
144.9264212,-37.758226	Tram 59: Flinders Street railway station => Airport West	Buckley Street	37	
144.9264524,-37.7579163	Tram 59: Airport West => Flinders Street railway station	Buckley Street	37	
144.9209544,-37.7553698	Tram 59: Flinders Street railway station => Airport West	Nicholson Street	40	
144.9232131,-37.7556225	Tram 59: Flinders Street railway station => Airport West	Hoddle Street	39	
144.9227355,-37.7555403	Tram 59: Airport West => Flinders Street railway station	Hoddle Street	39	
144.9261351,-37.7598798	Tram 59: Flinders Street railway station => Airport West	Murray Street	36	
144.9262047,-37.7596971	Tram 59: Airport West => Flinders Street railway station	Salisbury Street	36	
144.9257196,-37.7624776	Tram 59: Airport West => Flinders Street railway station	Queens Park	35	
144.9256411,-37.7627212	Tram 59: Flinders Street railway station => Airport West	Queens Park	35	
144.9254024,-37.7643186	Tram 59: Airport West => Flinders Street railway station	Moonee Valley Civic Centre	34	
144.9963215,-37.8101241	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Lennox Street	20	
144.9963215,-37.8101241	Tram 12: Victoria Gardens Shopping Centre => St Kilda (Park & Fitzroy Streets)	Lennox Street	20	
145.0008975,-37.8106049	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Church Street	21	
145.0008975,-37.8106049	Tram 12: Victoria Gardens Shopping Centre => St Kilda (Park & Fitzroy Streets)	Church Street	21	
145.0005029,-37.8105373	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Church Street	21	
145.0005029,-37.8105373	Tram 12: St Kilda (Park & Fitzroy Streets) => Victoria Gardens Shopping Centre	Church Street	21	
145.0043251,-37.8109424	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	McKay Street	22	
145.0043251,-37.8109424	Tram 12: Victoria Gardens Shopping Centre => St Kilda (Park & Fitzroy Streets)	McKay Street	22	
145.0039642,-37.8108756	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	McKay Street	22	
145.0039642,-37.8108756	Tram 12: St Kilda (Park & Fitzroy Streets) => Victoria Gardens Shopping Centre	McKay Street	22	
145.006888,-37.8111593	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Flockhart Street	23	
145.006888,-37.8111593	Tram 12: St Kilda (Park & Fitzroy Streets) => Victoria Gardens Shopping Centre	Flockhart Street	23	
145.0075826,-37.8112579	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Leslie Street	23	
145.0075826,-37.8112579	Tram 12: Victoria Gardens Shopping Centre => St Kilda (Park & Fitzroy Streets)	Leslie Street	23	
145.0003532,-37.8122414	Tram 78: North Richmond => Balaclava	Baker Street	64	
145.0005949,-37.8109187	Tram 78: Balaclava => North Richmond	Victoria Street	65	
145.0005949,-37.8109187	Tram 78: North Richmond => Balaclava	Victoria Street	65	
145.0002517,-37.8125861	Tram 78: Balaclava => North Richmond	Elizabeth Street	64	
144.9999632,-37.814361	Tram 78: North Richmond => Balaclava	Kent Street	63	
144.9999264,-37.8143388	Tram 78: Balaclava => North Richmond	Tweedie Place	63	
144.9997115,-37.8157019	Tram 78: North Richmond => Balaclava	Highett Street	62	
144.9996211,-37.8159777	Tram 78: Balaclava => North Richmond	Highett Street	62	
144.9991272,-37.8187084	Tram 78: Balaclava => North Richmond	Bridge Road	61	
144.9992126,-37.8184282	Tram 78: North Richmond => Balaclava	Bridge Road	61	
145.0132323,-37.8117969	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	River Boulevard	25	
145.0103693,-37.8114625	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Victoria Gardens Shopping Centre	24	
145.0103693,-37.8114625	Tram 12: St Kilda (Park & Fitzroy Streets) => Victoria Gardens Shopping Centre	Victoria Gardens Shopping Centre	24	
145.0231281,-37.8130653	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	High Street	29	
145.023678,-37.8129853	Tram 48: North Balwyn => Victoria Harbour	Barkers Road	29	
145.023678,-37.8129853	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Barkers Road	29	
145.0233578,-37.8132608	Tram 48: Victoria Harbour => North Balwyn	Barkers Road	26	
145.0207654,-37.8128105	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Findon Street	27	
145.020597,-37.8127617	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Findon Crescent	27	
145.0262076,-37.8102453	Tram 48: Victoria Harbour => North Balwyn	Stevenson Street	31	
145.0262076,-37.8102453	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Stevenson Street	31	
145.0264677,-37.8100233	Tram 48: North Balwyn => Victoria Harbour	Stevenson Street	31	
145.0264677,-37.8100233	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Stevenson Street	31	
145.0286388,-37.807649	Tram 48: Victoria Harbour => North Balwyn	Kew Junction	32	
145.0286388,-37.807649	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Kew Junction	32	
145.0291478,-37.8074108	Tram 48: North Balwyn => Victoria Harbour	Kew Junction	32	
145.0291478,-37.8074108	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Kew Junction	32	
145.0208621,-37.8158007	Tram 48: North Balwyn => Victoria Harbour	Brook Street	25	
145.0186878,-37.8179657	Tram 48: North Balwyn => Victoria Harbour	Hill Street	24	
145.0186863,-37.8179139	Tram 48: Victoria Harbour => North Balwyn	Grattan Street	24	
145.0206501,-37.8159529	Tram 48: Victoria Harbour => North Balwyn	Brook Street	25	
145.0138688,-37.8201147	Tram 48: Victoria Harbour => North Balwyn	Yarra Boulevard	22	
145.0138688,-37.8201147	Tram 75: Central Pier => Vermont South Shopping Centre	Yarra Boulevard	22	
145.0077238,-37.8194613	Tram 48: North Balwyn => Victoria Harbour	Burnley Street	21	
145.0077238,-37.8194613	Tram 75: Vermont South Shopping Centre => Central Pier	Burnley Street	21	
145.0088898,-37.8195522	Tram 48: Victoria Harbour => North Balwyn	Burnley Street	21	
145.0088898,-37.8195522	Tram 75: Central Pier => Vermont South Shopping Centre	Burnley Street	21	
144.9993569,-37.8185844	Tram 48: North Balwyn => Victoria Harbour	Church Street	18	
144.9993569,-37.8185844	Tram 75: Vermont South Shopping Centre => Central Pier	Church Street	18	
145.0013441,-37.8187902	Tram 48: North Balwyn => Victoria Harbour	Richmond Town Hall	19	
145.0013441,-37.8187902	Tram 75: Vermont South Shopping Centre => Central Pier	Richmond Town Hall	19	
145.0013567,-37.8187603	Tram 48: Victoria Harbour => North Balwyn	Richmond Town Hall	19	
145.0013567,-37.8187603	Tram 75: Central Pier => Vermont South Shopping Centre	Richmond Town Hall	19	
145.0035786,-37.8189939	Tram 48: Victoria Harbour => North Balwyn	Coppin Street	20	
145.0035786,-37.8189939	Tram 75: Central Pier => Vermont South Shopping Centre	Coppin Street	20	
145.0039576,-37.8190621	Tram 48: North Balwyn => Victoria Harbour	Coppin Street	20	
145.0039576,-37.8190621	Tram 75: Vermont South Shopping Centre => Central Pier	Coppin Street	20	
144.9966659,-37.8182733	Tram 48: Victoria Harbour => North Balwyn	Bosisto Street	17	
144.9966659,-37.8182733	Tram 75: Central Pier => Vermont South Shopping Centre	Bosisto Street	17	
144.9965644,-37.8182942	Tram 48: North Balwyn => Victoria Harbour	Waltham Street	17	
144.9965644,-37.8182942	Tram 75: Vermont South Shopping Centre => Central Pier	Waltham Street	17	
144.993618,-37.8179576	Tram 48: North Balwyn => Victoria Harbour	Epworth Hospital	15	
144.993618,-37.8179576	Tram 75: Vermont South Shopping Centre => Central Pier	Epworth Hospital	15	
144.9938862,-37.8179541	Tram 48: Victoria Harbour => North Balwyn	Epworth Hospital	15	
144.9938862,-37.8179541	Tram 75: Central Pier => Vermont South Shopping Centre	Epworth Hospital	15	
144.9896192,-37.817389	Tram 48: Victoria Harbour => North Balwyn	Punt Road	14	
144.9896192,-37.817389	Tram 75: Central Pier => Vermont South Shopping Centre	Punt Road	14	
144.9902257,-37.8174995	Tram 48: North Balwyn => Victoria Harbour	Punt Road	14	
144.9902257,-37.8174995	Tram 75: Vermont South Shopping Centre => Central Pier	Punt Road	14	
144.9793466,-37.81574	Tram 48: North Balwyn => Victoria Harbour	Jolimont Road	10	
144.9793466,-37.81574	Tram 75: Vermont South Shopping Centre => Central Pier	Jolimont Road	10	
144.9797869,-37.8157574	Tram 48: Victoria Harbour => North Balwyn	Jolimont Road	10	
144.9797869,-37.8157574	Tram 75: Central Pier => Vermont South Shopping Centre	Jolimont Road	10	
144.9766707,-37.8154387	Tram 48: North Balwyn => Victoria Harbour	Lansdowne Street	9	
144.9766707,-37.8154387	Tram 75: Vermont South Shopping Centre => Central Pier	Lansdowne Street	9	
144.9771845,-37.8154712	Tram 48: Victoria Harbour => North Balwyn	Lansdowne Street	9	
144.9771845,-37.8154712	Tram 75: Central Pier => Vermont South Shopping Centre	Lansdowne Street	9	
144.9757024,-37.8093667	Tram 11: West Preston => Victoria Harbour	Albert Street	11	
144.9757024,-37.8093667	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Albert Street	11	
144.9757024,-37.8093667	Tram 12: Victoria Gardens Shopping Centre => St Kilda (Park & Fitzroy Streets)	Albert Street	11	
144.9756088,-37.8097081	Tram 11: Victoria Harbour => West Preston	Albert Street	11	
144.9756088,-37.8097081	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Albert Street	11	
144.9756088,-37.8097081	Tram 12: St Kilda (Park & Fitzroy Streets) => Victoria Gardens Shopping Centre	Albert Street	11	
145.0379354,-37.8076649	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Glenferrie Road	36	
145.0313451,-37.8069355	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	High Street	34	
145.030464,-37.8069028	Tram 48: Victoria Harbour => North Balwyn	Kew Shopping Centre	33	
145.030464,-37.8069028	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Kew Shopping Centre	33	
145.0316135,-37.806934	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	High Street	34	
145.0355756,-37.8074259	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Charles Street	35	
145.0352856,-37.8073593	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Charles Street	35	
145.0313152,-37.806615	Tram 48: North Balwyn => Victoria Harbour	Cotham Road	33	
145.0339918,-37.8056135	Tram 48: Victoria Harbour => North Balwyn	Pakington Street	34	
145.0341492,-37.8055904	Tram 48: North Balwyn => Victoria Harbour	Union Street	34	
145.0377594,-37.8098552	Tram 16: Kew => Melbourne University	Wellington Street	79	
145.0380531,-37.8082508	Tram 16: Kew => Melbourne University	Cotham Road	80	
145.0380531,-37.8082508	Tram 16: Melbourne University => Kew	Cotham Road	80	
145.0427694,-37.8082411	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Belmont Avenue	37	
145.0422822,-37.8081524	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Belmont Avenue	37	
145.0383213,-37.8077414	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Glenferrie Road	36	
145.0458532,-37.8085734	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Marshall Avenue	38	
145.0461832,-37.8086424	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Marshall Avenue	38	
145.0497279,-37.8090709	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Thomas Street	39	
145.0492055,-37.8089745	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Thomas Street	39	
145.0531087,-37.80948	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	St George's Hospital	40	
145.0528649,-37.8094173	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	St George's Hospital	40	
145.0579247,-37.8100495	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Kew Traffic School	41	
145.0576551,-37.809986	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Kew Traffic School	41	
145.0838182,-37.81315	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Balwyn Shopping Centre	48	
145.0951178,-37.8145171	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Grovedale Road	51	
145.0605037,-37.8103237	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Burke Road	42	
145.0609556,-37.8104091	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Burke Road	42	
145.0646676,-37.8108211	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Deepdene Shopping Centre	43	
145.0649369,-37.810887	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Deepdene Shopping Centre	43	
145.0686948,-37.8113365	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Deepdene Park	44	
145.0683965,-37.8112679	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Deepdene Park	44	
145.0717867,-37.811707	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Hardwicke Street	45	
145.0714649,-37.8116355	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Hardwicke Street	45	
145.0757654,-37.8121514	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Balwyn Cinema	46	
145.0759446,-37.8122035	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Balwyn Cinema	46	
145.0812047,-37.8128016	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Balwyn Road	47	
145.0815313,-37.8128738	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Balwyn Road	47	
145.0836249,-37.8130945	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Balwyn Shopping Centre	48	
145.0871688,-37.8135256	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Northcote Avenue	49	
145.0879301,-37.8136477	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Northcote Avenue	49	
145.0913866,-37.8140662	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Wharton Street	50	
145.0916438,-37.8140642	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Wharton Street	50	
145.0947602,-37.8144416	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Narrak Road	51	
145.0992459,-37.814984	Tram 109: Port Melbourne => Box Hill Central Shopping Centre	Union Road	53	
145.0995255,-37.8150498	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Union Road	53	
145.1144422,-37.8168343	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	Elgar Road	56	
144.9593289,-37.8175801	Tram 11: West Preston => Victoria Harbour	William Street	3	
144.9593289,-37.8175801	Tram 48: North Balwyn => Victoria Harbour	William Street	3	
144.9593289,-37.8175801	Tram 109: Box Hill Central Shopping Centre => Port Melbourne	William Street	3	
144.9593289,-37.8175801	Tram 12: Victoria Gardens Shopping Centre => St Kilda (Park & Fitzroy Streets)	William Street	3	
145.0460185,-37.8012904	Tram 48: Victoria Harbour => North Balwyn	Victoria Park	38	
145.0461306,-37.8012821	Tram 48: North Balwyn => Victoria Harbour	Victoria Park	38	
145.0359975,-37.8049277	Tram 48: North Balwyn => Victoria Harbour	Charles Street	35	
145.0355688,-37.8050415	Tram 48: Victoria Harbour => North Balwyn	Cobden Street	35	
145.0399371,-37.8035088	Tram 48: North Balwyn => Victoria Harbour	Gladstone Street	36	
145.0398112,-37.8035169	Tram 48: Victoria Harbour => North Balwyn	Parkhill Road	36	
145.0424491,-37.802605	Tram 48: North Balwyn => Victoria Harbour	Kew Cemetery	37	
145.0425886,-37.8025191	Tram 48: Victoria Harbour => North Balwyn	Kew Cemetery	37	
145.0503996,-37.7994508	Tram 48: Victoria Harbour => North Balwyn	Harp Road	39	
145.0547867,-37.7974884	Tram 48: Victoria Harbour => North Balwyn	Clyde Street	41	
145.0521912,-37.7986577	Tram 48: North Balwyn => Victoria Harbour	Harp Village	40	
145.0538605,-37.7979342	Tram 48: North Balwyn => Victoria Harbour	Station Street	41	
145.0636916,-37.7935745	Tram 48: Victoria Harbour => North Balwyn	Burke Road	44	
145.0520297,-37.7986943	Tram 48: Victoria Harbour => North Balwyn	Harp Village	40	
145.0576428,-37.7962845	Tram 48: North Balwyn => Victoria Harbour	Woodlands Avenue	42	
145.0571916,-37.7964404	Tram 48: Victoria Harbour => North Balwyn	Irymple Avenue	42	
145.0612944,-37.7946737	Tram 48: North Balwyn => Victoria Harbour	Kew High School	43	
145.0610756,-37.7947273	Tram 48: Victoria Harbour => North Balwyn	Kew High School	43	
145.0642168,-37.7934062	Tram 48: North Balwyn => Victoria Harbour	Burke Road	44	
145.0671917,-37.7929882	Tram 48: North Balwyn => Victoria Harbour	Wattle Avenue	46	
145.0674649,-37.79291	Tram 48: Victoria Harbour => North Balwyn	Wattle Avenue	46	
145.0706558,-37.7926508	Tram 48: North Balwyn => Victoria Harbour	North Balwyn Shopping Centre	47	
145.0713958,-37.7927549	Tram 48: Victoria Harbour => North Balwyn	North Balwyn Shopping Centre	47	
145.0742914,-37.7932754	Tram 48: Victoria Harbour => North Balwyn	Sunburst Avenue	48	
145.0746221,-37.793367	Tram 48: North Balwyn => Victoria Harbour	Osburn Avenue	48	
145.0774714,-37.7938102	Tram 48: Victoria Harbour => North Balwyn	Cityview Road	49	
145.0775908,-37.793859	Tram 48: North Balwyn => Victoria Harbour	Buchanan Avenue	49	
145.0809417,-37.7943213	Tram 48: North Balwyn => Victoria Harbour	Dight Avenue	50	
145.0811648,-37.7943115	Tram 48: Victoria Harbour => North Balwyn	Hill Road	50	
145.0074216,-37.8267307	Tram 70: Wattle Park => Waterfront City	Burnley Station	14	
144.9977734,-37.8266288	Tram 78: North Richmond => Balaclava	East Richmond Station, Lesney Street	56	
144.9967318,-37.8326799	Tram 78: North Richmond => Balaclava	Howard Street	53	
144.9978738,-37.8258396	Tram 78: Balaclava => North Richmond	Swan Street	57	
144.9977472,-37.8256412	Tram 70: Waterfront City => Wattle Park	East Richmond Station, Church Street	11	
144.9932415,-37.8251361	Tram 70: Waterfront City => Wattle Park	Lennox Street	9	
144.9935343,-37.8251999	Tram 70: Wattle Park => Waterfront City	Lennox Street	9	
144.9960641,-37.825479	Tram 70: Wattle Park => Waterfront City	Swan Street Shopping Centre	10	
144.99588,-37.8254325	Tram 70: Waterfront City => Wattle Park	Swan Street Shopping Centre	10	
144.9981174,-37.8257127	Tram 70: Wattle Park => Waterfront City	East Richmond Station, Church Street	11	
145.0023175,-37.8261419	Tram 70: Waterfront City => Wattle Park	Coppin Street	12	
145.0025906,-37.8262006	Tram 70: Wattle Park => Waterfront City	Coppin Street	12	
145.0050427,-37.8264403	Tram 70: Waterfront City => Wattle Park	Edinburgh Street	13	
145.0047867,-37.8264428	Tram 70: Wattle Park => Waterfront City	Edinburgh Street	13	
145.0068683,-37.8266404	Tram 70: Waterfront City => Wattle Park	Burnley Station	14	
145.0098354,-37.8269962	Tram 70: Wattle Park => Waterfront City	Stawell Street	15	
145.0096162,-37.8269413	Tram 70: Waterfront City => Wattle Park	Stawell Street	15	
145.0123172,-37.827237	Tram 70: Waterfront City => Wattle Park	Park Grove	16	
145.0118011,-37.8272101	Tram 70: Wattle Park => Waterfront City	Park Grove	16	
144.9988786,-37.8203428	Tram 78: North Richmond => Balaclava	Abinger Street	60	
144.9988422,-37.8203152	Tram 78: Balaclava => North Richmond	Abinger Street	60	
144.9985751,-37.8218455	Tram 78: Balaclava => North Richmond	St Ignatius Church	59	
144.9986486,-37.8216553	Tram 78: North Richmond => Balaclava	St Ignatius Church	59	
144.9981975,-37.8239884	Tram 78: Balaclava => North Richmond	Gipps Street	58	
144.9982794,-37.8237334	Tram 78: North Richmond => Balaclava	Gipps Street	58	
144.9979625,-37.825553	Tram 78: North Richmond => Balaclava	Swan Street	57	
144.9973266,-37.8289482	Tram 78: Balaclava => North Richmond	Adelaide Street	55	
144.997386,-37.828836	Tram 78: North Richmond => Balaclava	Gibbons Street	55	
144.9970529,-37.8305058	Tram 78: Balaclava => North Richmond	Balmain Street	54	
144.9971234,-37.8303248	Tram 78: North Richmond => Balaclava	Cotter Street	54	
144.9966834,-37.832823	Tram 78: Balaclava => North Richmond	Howard Street	53	
145.0205907,-37.8264423	Tram 70: Waterfront City => Wattle Park	Yarra Boulevard	18	
145.0195652,-37.8266405	Tram 70: Wattle Park => Waterfront City	Yarra Boulevard	18	
145.0163614,-37.8274537	Tram 70: Wattle Park => Waterfront City	Madden Grove	17	
145.0168686,-37.8272988	Tram 70: Waterfront City => Wattle Park	Madden Grove	17	
145.0263183,-37.8218006	Tram 75: Vermont South Shopping Centre => Central Pier	Burwood Road	27	
145.0262013,-37.8215274	Tram 75: Central Pier => Vermont South Shopping Centre	Power Street	27	
145.0210707,-37.820885	Tram 75: Central Pier => Vermont South Shopping Centre	St James Park	25	
145.0211157,-37.8209248	Tram 75: Vermont South Shopping Centre => Central Pier	St James Park	25	
145.0248113,-37.8213914	Tram 75: Vermont South Shopping Centre => Central Pier	Hawthorn Station	26	
145.0246082,-37.8213361	Tram 75: Central Pier => Vermont South Shopping Centre	Hawthorn Station	26	
145.0258147,-37.8248165	Tram 75: Central Pier => Vermont South Shopping Centre	Wattle Road	28	
145.0257516,-37.8249449	Tram 75: Vermont South Shopping Centre => Central Pier	Wattle Road	28	
145.0339767,-37.828688	Tram 70: Waterfront City => Wattle Park	Glenferrie Road	32	
145.0339767,-37.828688	Tram 75: Central Pier => Vermont South Shopping Centre	Glenferrie Road	32	
145.0290927,-37.8281367	Tram 70: Waterfront City => Wattle Park	Through Street	30	
145.0290927,-37.8281367	Tram 75: Central Pier => Vermont South Shopping Centre	Through Street	30	
145.0291026,-37.8281651	Tram 70: Wattle Park => Waterfront City	Through Street	30	
145.0291026,-37.8281651	Tram 75: Vermont South Shopping Centre => Central Pier	Through Street	30	
145.0315928,-37.8284452	Tram 70: Wattle Park => Waterfront City	Fordholm Road	31	
145.0315928,-37.8284452	Tram 75: Vermont South Shopping Centre => Central Pier	Fordholm Road	31	
145.0313965,-37.8283943	Tram 70: Waterfront City => Wattle Park	Fordholm Road	31	
145.0313965,-37.8283943	Tram 75: Central Pier => Vermont South Shopping Centre	Fordholm Road	31	
145.0353091,-37.8227374	Tram 16: Melbourne University => Kew	Burwood Road	73	
145.0435063,-37.829815	Tram 70: Waterfront City => Wattle Park	Auburn Road	36	
145.0435063,-37.829815	Tram 75: Central Pier => Vermont South Shopping Centre	Auburn Road	36	
145.0341522,-37.8289883	Tram 16: Melbourne University => Kew	Riversdale Road	70	
145.0344108,-37.8287688	Tram 70: Wattle Park => Waterfront City	Glenferrie Road	32	
145.0344108,-37.8287688	Tram 75: Vermont South Shopping Centre => Central Pier	Glenferrie Road	32	
145.0368263,-37.8290212	Tram 70: Waterfront City => Wattle Park	Berkeley Street	33	
145.0368263,-37.8290212	Tram 75: Central Pier => Vermont South Shopping Centre	Berkeley Street	33	
145.0373164,-37.8291113	Tram 70: Wattle Park => Waterfront City	Berkeley Street	33	
145.0373164,-37.8291113	Tram 75: Vermont South Shopping Centre => Central Pier	Berkeley Street	33	
145.0386274,-37.8292671	Tram 70: Wattle Park => Waterfront City	Kooyongkoot Road	34	
145.0386274,-37.8292671	Tram 75: Vermont South Shopping Centre => Central Pier	Kooyongkoot Road	34	
145.0384589,-37.8292163	Tram 70: Waterfront City => Wattle Park	Kooyongkoot Road	34	
145.0384589,-37.8292163	Tram 75: Central Pier => Vermont South Shopping Centre	Kooyongkoot Road	34	
145.0415334,-37.8295814	Tram 70: Waterfront City => Wattle Park	Robinson Road	35	
145.0415334,-37.8295814	Tram 75: Central Pier => Vermont South Shopping Centre	Robinson Road	35	
145.0415526,-37.8296141	Tram 70: Wattle Park => Waterfront City	Robinson Road	35	
145.0415526,-37.8296141	Tram 75: Vermont South Shopping Centre => Central Pier	Robinson Road	35	
145.034259,-37.8286216	Tram 16: Kew => Melbourne University	Riversdale Road	70	
145.0346932,-37.8260768	Tram 16: Melbourne University => Kew	Urquhart Street	71	
145.0347569,-37.8259268	Tram 16: Kew => Melbourne University	Urquhart Street	71	
145.0351118,-37.8240105	Tram 16: Kew => Melbourne University	Oxley Road	72	
145.0350449,-37.8241746	Tram 16: Melbourne University => Kew	Manningtree Road	72	
145.033707,-37.8314383	Tram 16: Melbourne University => Kew	South Street	69	
145.0338149,-37.8310825	Tram 16: Kew => Melbourne University	South Street	69	
145.0333484,-37.8334496	Tram 16: Melbourne University => Kew	Callantina Road	68	
145.0334309,-37.8331987	Tram 16: Kew => Melbourne University	Callantina Road	68	
145.0330454,-37.8354205	Tram 16: Kew => Melbourne University	Gardiner Road	67	
145.0329748,-37.8356008	Tram 16: Melbourne University => Kew	Gardiner Road	67	
145.0325333,-37.8383462	Tram 16: Kew => Melbourne University	Kooyong Tennis Centre	66	
145.0324626,-37.838526	Tram 16: Melbourne University => Kew	Kooyong Tennis Centre	66	
145.0323594,-37.8393279	Tram 16: Kew => Melbourne University	Kooyong Station	65	
145.0315796,-37.8436718	Tram 16: Kew => Melbourne University	Toorak Road	63	
145.0322107,-37.8399508	Tram 16: Melbourne University => Kew	Kooyong Station	65	
145.031759,-37.8424722	Tram 16: Melbourne University => Kew	Mernda Road	64	
145.0319121,-37.8418219	Tram 16: Kew => Melbourne University	Mernda Road	64	
145.0376766,-37.8100801	Tram 16: Melbourne University => Kew	Wellington Street	79	
145.0373518,-37.8120243	Tram 16: Kew => Melbourne University	Fitzwilliam Street	78	
145.0372859,-37.8121696	Tram 16: Melbourne University => Kew	Fitzwilliam Street	78	
145.0368772,-37.8145672	Tram 16: Kew => Melbourne University	Barkers Road	77	
145.0354,-37.8224624	Tram 16: Kew => Melbourne University	Burwood Road	73	
145.0356117,-37.8213246	Tram 16: Kew => Melbourne University	Glenferrie Station	74	
145.0357181,-37.8205489	Tram 16: Melbourne University => Kew	Glenferrie Station	74	
145.0360287,-37.8188904	Tram 16: Melbourne University => Kew	Chrystobel Crescent	75	
145.0361383,-37.8185212	Tram 16: Kew => Melbourne University	Liddiard Street	75	
145.0363875,-37.816976	Tram 16: Melbourne University => Kew	Johnson Street	76	
145.0364713,-37.8167274	Tram 16: Kew => Melbourne University	Johnson Street	76	
145.0367929,-37.8148071	Tram 16: Melbourne University => Kew	Barkers Road	77	
145.0542709,-37.8310699	Tram 70: Waterfront City => Wattle Park	Camberwell Tram Depot	39	
145.0542709,-37.8310699	Tram 75: Central Pier => Vermont South Shopping Centre	Camberwell Tram Depot	39	
145.0547527,-37.8311563	Tram 70: Wattle Park => Waterfront City	Camberwell Tram Depot	39	
145.0547527,-37.8311563	Tram 75: Vermont South Shopping Centre => Central Pier	Camberwell Tram Depot	39	
145.0567649,-37.8310902	Tram 72: Camberwell => Melbourne University	Riversdale Road	61	
145.0438007,-37.8298765	Tram 70: Wattle Park => Waterfront City	Auburn Road	36	
145.0438007,-37.8298765	Tram 75: Vermont South Shopping Centre => Central Pier	Auburn Road	36	
145.0516312,-37.8307904	Tram 70: Wattle Park => Waterfront City	Hastings Road	38	
145.0516312,-37.8307904	Tram 75: Vermont South Shopping Centre => Central Pier	Hastings Road	38	
145.0476007,-37.8302862	Tram 70: Waterfront City => Wattle Park	Tooronga Road	37	
145.0476007,-37.8302862	Tram 75: Central Pier => Vermont South Shopping Centre	Tooronga Road	37	
145.0512096,-37.8307114	Tram 70: Waterfront City => Wattle Park	Hastings Road	38	
145.0512096,-37.8307114	Tram 75: Central Pier => Vermont South Shopping Centre	Hastings Road	38	
145.0478503,-37.830346	Tram 70: Wattle Park => Waterfront City	Tooronga Road	37	
145.0478503,-37.830346	Tram 75: Vermont South Shopping Centre => Central Pier	Tooronga Road	37	
145.0569752,-37.8315623	Tram 75: Vermont South Shopping Centre => Central Pier	Camberwell Junction	40	
145.0571292,-37.831432	Tram 70: Wattle Park => Waterfront City	Camberwell Junction	40	
145.0564329,-37.8313239	Tram 70: Waterfront City => Wattle Park	Camberwell Junction	40	
145.0564329,-37.8313239	Tram 75: Central Pier => Vermont South Shopping Centre	Camberwell Junction	40	
